วันที่รับเรื่อง,เลขที่คำร้อง,อำเภอ,ประเภทการร้องเรียน,รายละเอียดสั้นๆ,สถานะ,วันที่แก้ไข,ระยะเวลา (วัน)
1/3/2024,COM-2024-001,เมืองปราจีนบุรี,ค่าจ้าง,ได้รับค่าจ้างล่าช้าเกินกำหนด,เสร็จสิ้น,1/8/2024,5
1/4/2024,COM-2024-002,บ้านสร้าง,ค่าจ้าง,ไม่ได้รับค่าจ้างในวันหยุดนักขัตฤกษ์,เสร็จสิ้น,1/10/2024,6
1/5/2024,COM-2024-003,กบินทร์บุรี,สวัสดิการ,ค่าเดินทางไม่ได้รับตามสัญญา,อยู่ระหว่างดำเนินการ,,
1/6/2024,COM-2024-004,ศรีมหาโพธิ,เวลาทำงาน,ไม่ได้รับค่าล่วงเวลาในวันหยุด,รอเอกสาร,,
1/6/2024,COM-2024-005,เมืองปราจีนบุรี,สวัสดิการ,หอพักแรงงานสภาพไม่เหมาะสม,เสร็จสิ้น,1/16/2024,10
1/7/2024,COM-2024-006,ศรีมหาโพธิ,ค่าจ้าง,ได้รับค่าจ้างล่าช้าเกินกำหนด,เสร็จสิ้น,1/30/2024,23
1/7/2024,COM-2024-007,บ้านสร้าง,การเลิกจ้าง,เลิกจ้างโดยไม่บอกกล่าวล่วงหน้า,อยู่ระหว่างดำเนินการ,,
1/8/2024,COM-2024-008,เมืองปราจีนบุรี,ความปลอดภัย,ไม่มีอุปกรณ์ป้องกันส่วนบุคคลเพียงพอ,เสร็จสิ้น,1/29/2024,21
1/9/2024,COM-2024-009,นาดี,เวลาทำงาน,ตัดชั่วโมงทำงานโดยไม่มีเหตุผล,รอเอกสาร,,
1/10/2024,COM-2024-010,กบินทร์บุรี,การเลิกจ้าง,เลิกจ้างโดยไม่บอกกล่าวล่วงหน้า,อยู่ระหว่างดำเนินการ,,
1/11/2024,COM-2024-011,นาดี,การเลิกจ้าง,ย้ายตำแหน่งก่อนเลิกจ้างอย่างไม่เป็นธรรม,อยู่ระหว่างดำเนินการ,,
1/12/2024,COM-2024-012,กบินทร์บุรี,การเลิกจ้าง,ให้เซ็นลาออกโดยสมัครใจ,เสร็จสิ้น,1/28/2024,16
1/12/2024,COM-2024-013,บ้านสร้าง,เวลาทำงาน,บังคับทำงานเกิน 8 ชั่วโมงต่อวัน,เสร็จสิ้น,1/18/2024,6
1/13/2024,COM-2024-014,นาดี,ความปลอดภัย,พื้นที่ทำงานมีสารเคมีรั่วไหล,รอเอกสาร,,
1/14/2024,COM-2024-015,ศรีมหาโพธิ,สวัสดิการ,ไม่ได้รับสวัสดิการประกันสังคม,อยู่ระหว่างดำเนินการ,,
1/14/2024,COM-2024-016,กบินทร์บุรี,ค่าจ้าง,จ่ายค่าจ้างต่ำกว่าอัตราขั้นต่ำ,เสร็จสิ้น,1/19/2024,5
1/15/2024,COM-2024-017,บ้านสร้าง,การเลิกจ้าง,เลิกจ้างไม่จ่ายค่าชดเชย,อยู่ระหว่างดำเนินการ,,
1/15/2024,COM-2024-018,นาดี,สวัสดิการ,เงินช่วยเหลือกรณีเจ็บป่วยล่าช้า,เสร็จสิ้น,2/20/2024,36
